Riccardo Gonzo	1812058
Tristan McLoughlin	1033071
Diego Medrano	1651201
Anne Spiering	1677147
Shamik Banerjee	1288807
Sudip Ghosh	1600929
Andrzej Pokraka	1649885
Andrea Cristofoli	1726207
David A. Kosower	1002112
Donal O’Connell	1024852
Canxin Shi	1782568
Ruth Britto	1015279
Guy R. Jehu	1856700
Nathan Moynihan	1599339
Alasdair Ross	1815974
Matteo Sergola	1858324
Chris D. White	1024738
Andrea Puhm	1198416
Tim Adamo	1058489
Anton Ilderton	1058660
Stefano De Angelis	1712062
Pavel P. Novichkov	1709063
Jack Lewis	3068356
Adam Pound	1042017
Dogan Akpinar	2810985
Vittorio Del Duca	1011316
Francesco Alessio	1753866
Graham R. Brown	1865281
Mao Zeng	1310565
Emanuele Rosi	3083888
Leor Barack	1017438
Gustav Mogull	1390276
Ira Z. Rothstein	991142
Michael Saavedra	2826245
Benjamin Leather	2027737
Oliver Long	1981599
Niels Warburton	1066121
